,m/z,I,S/N
4471,302.04185,2324747,4.4
4472,302.06125,2646448,5.4
4473,302.06755,6935287,18.0
4474,302.0791,2871876,6.0
4475,302.08847,3236654,7.1
4476,302.0968,7154967,18.7
4477,302.10401,5081183,12.5
4478,302.11894,2442223,4.8
4479,302.12501,2573814,5.2
4480,302.13309,2973343,6.3
4481,302.14027,2662599,5.4
4482,302.15961,2518604,5.0
4483,302.24949,2339519,4.5
4484,302.2799,2336337,4.5
4485,302.30793,2340376,4.5
4486,302.43687,2187294,4.0
4487,302.51811,2447481,4.8
4488,302.55142,2220942,4.1
4489,302.61368,2318243,4.4
4490,302.70681,2209388,4.1
4491,302.82884,3000453,6.4
4492,302.84044,2193202,4.0
4493,302.88129,2222736,4.1
4494,302.91237,2541283,5.1
4495,302.96759,2420305,4.7
4496,303.00349,17491978,49.1
4497,303.01515,5907927,15.0
4498,303.02636,2273283,4.3
4499,303.0516,14499648,40.3
4500,303.05489,3413188,7.6
4501,303.06285,2830861,5.9
4502,303.06458,2677679,5.5
4503,303.07272,8188760,21.7
4504,303.08794,19495529,55.0
4505,303.09134,7733741,20.4
4506,303.0992,9617014,25.9
4507,303.10106,5869944,14.9
4508,303.10909,14036609,38.9
4509,303.12436,18555283,52.2
4510,303.12781,3240215,7.1
4511,303.13741,4893601,12.0
4512,303.14545,6749099,17.5
4513,303.15645,2295607,4.3
4514,303.16075,10982716,29.9
4515,303.17952,2491537,4.9
4516,303.25847,2310331,4.4
4517,303.27838,2439122,4.8
4518,303.32393,2207222,4.1
