,m/z,intensity,S/N,log_intensity,mz_calibrated,mz_calibrated_Hline,tdb_index,C,H,N,O,S,theo,class,DBE,mz_E_ppm_BeforeCalibration,mz_E_ppm_AfterCalibration,isotope,track
1397,407.05798,180904942,384.7,8.25745043117166,407.0621406481814,,10860,18,15,0,11,0,407.0619842,O11,11.0,-9.836831134861665,0.3843350337318458,,True
1398,407.0613,14586355,29.1,7.1639467791340765,407.06546071276193,,10861,15,19,0,11,1,407.0653552,O11S1,6.0,-9.962036680792066,0.25920349296732204,,True
1399,407.06915,13024253,25.8,7.114752823926938,407.07331086546117,,10865,17,15,2,10,0,407.0732176,N2O10,11.0,-9.99230562016147,0.22911225085242456,,True
1392,406.07387,24741556,50.8,7.393427008994153,406.07801152110704,,10792,18,16,1,10,0,406.0779686,N1O10,11.0,-10.09313559696592,0.10569671428386218,,True
1530,419.13026,85986795,177.4,7.93443176172075,419.13465781460707,,11881,21,23,0,9,0,419.134755,O9,10.0,-10.72447451885267,-0.23187147273733938,,True
1113,377.04801,162755985,370.2,8.211536967775913,377.0516019428508,,8582,17,13,0,10,0,377.0514196,O10,11.0,-9.042798469277216,0.48360208016765366,,True
1111,377.01157,55898462,125.8,7.747399858796941,377.0151612711053,,8570,16,9,0,11,0,377.0150342,O11,12.0,-9.188492992983816,0.33704519384001547,,True
858,351.06894,235791100,580.9,8.372527408503622,351.07206521472017,,6839,16,15,0,9,0,351.072155,O9,9.0,-9.157661620903868,-0.25574594442065895,,True
859,351.07223,8007937,17.6,6.90352064780543,351.0753552722475,,6840,13,19,0,9,1,351.075526,O9S1,4.0,-9.388293275773323,-0.4862992144438537,,True
860,351.08026,15736333,36.7,7.196903537209469,351.0833854126581,,6844,15,15,2,8,0,351.0833884,N2O8,9.0,-8.910703563153964,-0.00850892400849384,,True
861,351.08414,11060754,25.2,7.043784733377167,351.0872654805037,,6845,20,15,0,6,0,351.0874112,O6,13.0,-9.317337778782722,-0.4150518978933109,,True
3256,351.09384,3937505,7.5,6.595221118282363,351.09696565012007,,7659,17,17,0,8,0,351.0971368,O8,9.0,-9.389993977264721,-0.4874715911331107,1O18,True
862,351.10535,230486834,567.8,8.362646122417829,351.1084758513911,,6852,17,19,0,8,0,351.1085404,O8,8.0,-9.08664880768603,-0.18384232063389128,,True
863,351.11658,4304003,8.4,6.633872565372783,351.11970604777076,,6854,16,19,2,7,0,351.1197738,N2O7,8.0,-9.096041403349652,-0.19296044914533697,,True
864,351.12066,4543177,9.0,6.657359657049243,351.1237861191191,,6855,21,19,0,5,0,351.1237966,O5,12.0,-8.933031683916404,-0.02984953175608802,,True
865,351.14173,100442984,246.2,8.001919606425231,351.1448564875875,,6861,18,23,0,7,0,351.1449258,O7,7.0,-9.101085521123924,-0.19738975965121566,,True
866,351.17815,12824990,29.5,7.108057035152547,351.1812771245335,,6870,19,27,0,6,0,351.1813112,O6,6.0,-9.001617965271288,-0.09703097915762061,,True
867,352.02794,23117449,55.0,7.36393990819363,352.031082000644,,6894,14,10,1,10,0,352.0310186,N1O10,10.0,-8.745252086660084,0.1800995954157631,,True
3257,352.03608,27922069,66.8,7.445947595970864,352.03922214327156,,853,15,11,0,10,0,352.0391246,O10,10.0,-8.648470545460729,0.27708076961588457,1C13,True
868,352.06431,39347391,95.1,7.594915940967822,352.0674526379316,,6902,15,14,1,9,0,352.067404,N1O9,9.0,-8.788089908013161,0.13814948790397932,,True
3258,352.07241,37437643,90.4,7.573308498604633,352.0755527798694,,858,16,15,0,9,0,352.07551,O9,9.0,-8.804929374433467,0.12150765435219764,1C13,True
870,352.10073,17465076,41.0,7.242170479828164,352.1038732761453,,6910,16,18,1,8,0,352.1037894,N1O8,8.0,-8.688915291701559,0.23821426475969568,,True
3259,352.10882,34189056,82.3,7.533887109581304,352.1119634179189,,862,17,19,0,8,0,352.1118954,O8,8.0,-8.734155364181918,0.19317131800683982,1C13,True
3260,352.14516,18162998,42.7,7.259187535120914,352.14830405479154,,865,18,23,0,7,0,352.1482808,O7,7.0,-8.862175879273357,0.06603693045452617,1C13,True
871,353.03067,5219540,10.5,6.717632230154646,353.0338295890676,,6950,15,13,0,8,1,353.0336614,O8S1,9.0,-8.473412954954334,0.47641085239397135,,True
3262,353.07327,3755411,7.0,6.574657474033735,353.07643033713225,,7679,16,15,0,9,0,353.0764014,O9,9.0,-8.86890199291953,0.08195714051590637,1O18,True
3263,353.07897,3995676,7.6,6.601590265060211,353.08213043723066,,3836,13,19,0,9,1,353.082236,O9S1,4.0,-9.24996974358245,-0.29897502224703326,2C13,True
872,353.13637,4982832,10.0,6.69747624484657,353.13953144530643,,6984,21,21,0,5,0,353.1394466,O5,11.0,-8.71213915524603,0.24026006514778386,,True
873,354.02238,4692621,9.3,6.67141547979201,354.0255570213745,,7019,17,8,1,8,0,354.0255394,N1O8,14.0,-8.924214917855913,0.04977430300056865,,True
874,354.04347,36333612,86.3,7.560308574127333,354.04664739249597,,7023,14,12,1,10,0,354.0466686,N1O10,9.0,-9.034402195083869,-0.05990030661556841,,True
875,354.05879,7039811,15.0,6.847560999659313,354.06196766209297,,7026,18,12,1,7,0,354.0619248,N1O7,13.0,-8.853818443676932,0.12105818214326088,,True
876,354.07987,32172130,76.2,7.507479814915764,354.08304803306726,,7031,15,16,1,9,0,354.083054,N1O9,8.0,-8.992240560532712,-0.016851788527034825,,True
3255,351.06725,9114106,20.3,6.959714075261064,351.0703751851698,,847,19,12,1,6,0,351.0703652,N1O6,14.0,-8.873434811992905,0.028442075275869276,1C13,True
857,351.05364,5278053,10.9,6.722473746909414,351.0567649471969,,6833,12,15,0,12,0,351.0568988,O12,5.0,-9.282825693400062,-0.38128520924811315,,True
856,351.04783,13930973,32.3,7.1439814505067725,351.0509548456103,,6831,19,11,0,7,0,351.0510258,O7,14.0,-9.103519902076055,-0.202119875658913,,True
855,351.04386,11849943,27.1,7.0737162613296665,351.0469847761965,,6830,14,11,2,9,0,351.047003,N2O9,10.0,-8.953217014140884,-0.05191271643539036,,True
3245,348.11387,15743703,37.3,7.197106888335885,348.1169437093067,,828,18,19,0,7,0,348.1169808,O7,9.0,-8.936076582224986,-0.1065466361678824,1C13,True
3246,348.15024,8037133,18.0,6.905101155174726,348.1533143412027,,830,19,23,0,6,0,348.1533662,O6,8.0,-8.979376055209805,-0.14895388735715864,1C13,True
835,349.03832,21667638,51.4,7.3358115712424805,349.0414097864046,,6701,12,13,0,12,0,349.0412488,O12,6.0,-8.390985335044745,0.46122458343782663,,True
836,349.05694,12528210,28.8,7.097889024493308,349.06003011055844,,6708,13,17,0,9,1,349.059876,O9S1,5.0,-8.411164392830292,0.44150178541075263,,True
837,349.07465,8912620,19.8,6.950005390263791,349.0777404188824,,6715,13,17,0,11,0,349.0776342,O11,5.0,-8.548814669254401,0.3042844113045345,,True
838,349.08996,135722883,333.4,8.132653076272911,349.09305068543296,,6721,17,17,0,8,0,349.0928904,O8,9.0,-8.394327356855156,0.45914837390505686,,True
839,349.09329,6720520,14.4,6.827402877874279,349.0963807434102,,6722,14,21,0,8,1,349.0962614,O8S1,4.0,-8.511692414184445,0.3418639022311164,,True
840,349.10109,6432147,13.7,6.808355961200489,349.1041808792143,,6724,16,17,2,7,0,349.1041238,N2O7,9.0,-8.690243950723625,0.16350197661761165,,True
3250,349.11482,3294152,6.0,6.517743634675337,349.11791111827006,,7649,18,19,0,7,0,349.1178722,O7,9.0,-8.742605987999235,0.11147601751450083,1O18,True
842,349.12635,93714361,229.6,7.971806148253324,349.1294413190267,,6732,18,21,0,7,0,349.1292758,O7,8.0,-8.380276885431211,0.4740909403452012,,True
843,349.16271,25325039,60.4,7.403550122836731,349.1658019521483,,6741,19,25,0,6,0,349.1656612,O6,7.0,-8.452148443926237,0.40310993874288703,,True
844,349.1991,3792549,7.2,6.578931200610288,349.2021925858425,,6748,20,29,0,5,0,349.2020466,O5,6.0,-8.438094875786948,0.4180555180448964,,True
877,354.11628,7756696,16.7,6.889676770932437,354.11945867386424,,7039,16,20,1,8,0,354.1194394,N1O8,7.0,-8.921848530291735,0.054427580425406526,,True
845,350.01239,7900125,17.3,6.897633962984209,350.0154967615546,,6766,14,8,1,10,0,350.0153686,N1O10,11.0,-8.50991204163321,0.3661597920616251,,True
847,350.06392,4310441,8.5,6.6345217049794805,350.0670276605714,,6776,19,12,1,6,0,350.0670102,N1O6,14.0,-8.82745277330054,0.04987779728515312,,True
848,350.08513,21433161,50.8,7.3310862262737695,350.0882380306403,,6781,16,16,1,8,0,350.0881394,N1O8,9.0,-8.596120980145026,0.28173088205237984,,True
3251,350.09323,23286101,55.4,7.367096776815471,350.0963381719724,,838,17,17,0,8,0,350.0962454,O8,9.0,-8.613060093049281,0.2649899095160003,1C13,True
849,350.12146,6515199,13.9,6.813927685325965,350.12456866456034,,6788,17,20,1,7,0,350.1245248,N1O7,8.0,-8.753457078606216,0.12528274147720098,,True
3252,350.12964,20280203,48.0,7.307072297867343,350.13274880729955,,842,18,21,0,7,0,350.1326308,O7,8.0,-8.54190594343342,0.3370359948008843,1C13,True
3253,350.16603,5676865,11.8,6.754108566507925,350.1691394423279,,843,19,25,0,6,0,350.1690162,O6,7.0,-8.527881856639764,0.35195097852881435,1C13,True
850,350.99619,16890512,39.6,7.227642814485428,350.9993139427523,,6814,14,7,0,11,0,350.9993842,O11,11.0,-9.100300865986013,-0.2001634501101862,,True
851,350.99953,8185365,18.0,6.913038050143996,351.0026540011448,,6815,11,11,0,11,1,351.0027552,O11S1,6.0,-9.188531862644583,-0.28831356377834644,,True
3254,351.00934,3589540,6.7,6.5550387972519255,351.0124641726533,,6194,14,8,1,10,0,351.01240359999997,N1O10,11.0,-8.727896702627385,0.1725655638727817,1N15,True
852,351.01146,4227623,8.3,6.626096251975086,351.01458420971784,,6819,18,7,0,8,0,351.0146404,O8,15.0,-9.060590738879306,-0.1600795970106454,,True
853,351.03255,201192134,495.3,8.30361099712358,351.035674578449,,6826,15,11,0,10,0,351.0357696,O10,10.0,-9.171714904251724,-0.2706890841475974,,True
854,351.03591,11438027,26.1,7.058351117384388,351.03903463719575,,6827,12,15,0,10,1,351.0391406,O10S1,5.0,-9.202962366171157,-0.30185467084989825,,True
846,350.04871,33932563,81.7,7.530616664087168,350.0518173952001,,6773,15,12,1,9,0,350.051754,N1O9,10.0,-8.695857013156118,0.1811023637167413,,True
834,348.10584,10243275,23.5,7.010438832326473,348.1089135697995,,6659,17,18,1,7,0,348.1088748,N1O7,9.0,-8.717962165620422,0.11137262582572544,,True
878,354.99107,6113954,12.7,6.786322166869409,354.9942640846432,,7065,13,7,0,12,0,354.9942988,O12,10.0,-9.095357336608823,-0.09779130805789862,,True
880,355.0064,14351032,32.8,7.156883132832376,355.00959435496026,,7070,17,7,0,9,0,355.009555,O9,14.0,-8.887084743373935,0.11085605929415035,,True
904,357.03732,5687140,11.7,6.7548939193861735,357.0405502441906,,7210,21,9,0,6,0,357.0404612,O6,17.0,-8.797882428791516,0.24939523757518287,,True
905,357.04313,393844077,957.1,8.595324318522971,357.0463603470821,,7212,14,13,0,11,0,357.0463342,O11,8.0,-8.9741854013147,0.07323162179696843,,True
906,357.05443,8520957,18.6,6.930488373696148,357.05766054720164,,7216,13,13,2,10,0,357.0575676,N2O10,8.0,-8.787378520197743,0.26031433035573054,,True
907,357.0584,41119107,98.0,7.61404367434365,357.0616306175103,,7218,18,13,0,8,0,357.0615904,O8,12.0,-8.935153166208611,0.11263465843494565,,True
908,357.06173,10525320,23.4,7.022235308509757,357.06496067648493,,7219,15,17,0,8,1,357.0649614,O8S1,7.0,-9.049893854984713,-0.0020262841899366573,,True
3271,357.06801,6502289,13.6,6.813066268192406,357.0712407877056,,7709,15,15,0,10,0,357.071316,O10,8.0,-9.258654649283379,-0.2106366180502484,1O18,True
909,357.07954,270611874,656.9,8.432346848800925,357.0827709919091,,7225,15,17,0,10,0,357.0827196,O10,7.0,-8.904379365015739,0.14392157972214,,True
910,357.09076,6389427,13.4,6.8054619126347395,357.0939911906271,,7229,14,17,2,9,0,357.093953,N2O9,7.0,-8.941624390963057,0.10694840048029731,,True
911,357.09479,32204217,76.2,7.507912744364054,357.0980212620037,,7230,19,17,0,7,0,357.0979758,O7,11.0,-8.921361127421207,0.1273096092258424,,True
912,357.09807,5778237,11.9,6.76179535088328,357.10130132009743,,7231,16,21,0,7,1,357.1013468,O7S1,6.0,-9.176106529264256,-0.12735852989878668,,True
3272,357.10437,6270279,13.1,6.797286865466233,357.1076014316808,,7713,16,19,0,9,0,357.1077014,O9,7.0,-9.328838294214151,-0.27993884985671325,1O18,True
3273,357.10709,3528395,6.4,6.547577197978428,357.11032147985696,,3869,16,19,0,9,0,357.110165,O9,7.0,-8.610788214239369,0.4381837099732849,2C13,True
913,357.11341,3769556,7.0,6.576290199514641,357.1166415917966,,7236,20,21,0,4,1,357.116603,O4S1,10.0,-8.94105727145432,0.10806497457675542,,True
914,357.11593,117872088,284.9,8.071410976743028,357.1191616364313,,7237,16,21,0,9,0,357.119105,O9,6.0,-8.890591277660201,0.15859255494530697,,True
915,357.1312,18622446,43.2,7.270036723612876,357.1344319069008,,7242,20,21,0,6,0,357.1343612,O6,10.0,-8.851570566888064,0.19798403193165198,,True
916,357.15239,21001229,49.0,7.322244710557747,357.1556222822427,,7249,17,25,0,8,0,357.1554904,O8,5.0,-8.68081293254535,0.3692572176952588,,True
3274,358.00998,10370039,22.7,7.0157803897017645,358.01322748687824,,900,13,9,0,12,0,358.0133038,O12,9.0,-9.284012534599018,-0.2131572234073867,1C13,True
917,358.01714,7895554,16.8,6.897382608150751,358.0203876139364,,7278,16,8,1,9,0,358.020454,N1O9,13.0,-9.256454381203978,-0.18542533764135183,,True
3275,358.02532,5967246,12.2,6.775773942023811,358.02856775909737,,902,17,9,0,9,0,358.02856,O9,13.0,-9.04955738728005,0.021671727370844832,1C13,True
919,358.05351,14746167,33.2,7.168679147969887,358.05675825937163,,7285,17,12,1,8,0,358.0568394,N1O8,12.0,-9.298523680104186,-0.22661382059720325,,True
922,358.11106,5191308,10.3,6.715276796309456,358.11430928077516,,7297,15,20,1,9,0,358.114354,N1O9,6.0,-9.19817919385211,-0.1248741479701318,,True
3280,358.11914,23235479,53.6,7.3661516298991385,358.1223894241897,,914,16,21,0,9,0,358.12246,O9,6.0,-9.27057185961972,-0.19707172317012328,1C13,True
923,359.00136,16638371,37.7,7.221110803905274,359.0046250975616,,7330,16,7,0,10,0,359.0044696,O10,13.0,-8.661730600404045,0.43313544749573585,,True
924,359.00463,11213736,24.7,7.049750327480967,359.00789515570955,,7331,13,11,0,10,1,359.0078406,O10S1,8.0,-8.942980171749811,0.15196244585659993,,True
3282,359.01439,9337526,20.2,6.970231824102257,359.0176553292665,,7722,10,13,0,12,1,359.0175662,O12S1,4.0,-8.846920872431728,0.24825878991064446,1O18,True
3270,357.03164,5368412,10.9,6.729845838468757,357.0348701436025,,7704,14,11,0,11,0,357.0349306,O11,9.0,-9.216465163461825,-0.16932908322426587,1O18,True
903,357.02537,9342803,20.6,6.970477191519711,357.02860003256745,,7207,14,13,0,9,1,357.028576,O9S1,8.0,-8.979673380478637,0.06731272811828772,,True
902,357.02203,33357134,79.1,7.523188729571979,357.0252599734202,,7206,17,9,0,9,0,357.025205,O9,13.0,-8.892929562369863,0.15397630025223605,,True
901,357.01012,3381948,6.0,6.5291669257080045,357.0133497625122,,7202,10,13,0,12,1,357.0133198,O12S1,4.0,-8.9626908088386,0.08392547431534052,,True
881,355.00971,6285757,13.1,6.798357587690314,355.01290441332736,,7071,14,11,0,9,1,355.012926,O9S1,9.0,-9.058825086298377,-0.060805314538735306,,True
3264,355.01955,4758092,9.4,6.677432835075366,355.02274458684394,,6206,17,8,1,8,0,355.0225744,N1O8,14.0,-8.518894904434134,0.47936907739754747,1N15,True
882,355.02176,3613903,6.6,6.557976491575745,355.02495462581516,,7074,21,7,0,6,0,355.0248112,O6,18.0,-8.594328913809157,0.40398814573772784,,True
883,355.0275,293292503,712.2,8.467300961898577,355.0306947270353,,7076,14,11,0,11,0,355.0306842,O11,9.0,-8.96880225210986,0.029651057774058888,,True
884,355.03885,7627240,16.4,6.882367412185983,355.0420449271869,,7080,13,11,2,10,0,355.0419176,N2O10,9.0,-8.64010655611571,0.35862578647493787,,True
885,355.04279,27214318,64.1,7.434797455223075,355.045984996668,,7082,18,11,0,8,0,355.0459404,O8,13.0,-8.873217917749063,0.12560816193546667,,True
886,355.04598,5594995,11.4,6.7477997027547385,355.04917505292326,,7083,15,15,0,8,1,355.0493114,O8S1,8.0,-9.382922014127741,-0.38402292972724006,,True
887,355.05808,5753604,11.8,6.759939967645877,355.0612752663093,,7086,22,11,0,5,0,355.0611966,O5,17.0,-8.7776417976463,0.22155704429912998,,True
888,355.06386,393136653,955.4,8.594543535943156,355.0670553682426,,7089,15,15,0,10,0,355.0670696,O10,8.0,-9.039418957279402,-0.04008188486922183,,True
889,355.07514,13369630,30.4,7.126119388475014,355.07833556717503,,7093,14,15,2,9,0,355.078303,N2O9,8.0,-8.907894324450218,0.09171829072892713,,True
890,355.07908,23158307,54.2,7.364706806893351,355.08227563666145,,7094,19,15,0,7,0,355.0823258,O7,12.0,-9.140978765105194,-0.14127241736221602,,True
891,355.08497,17810220,41.2,7.250669284100858,355.0881657405394,,7096,12,19,0,12,0,355.0881988,O12,3.0,-9.092952147944043,-0.09310211009208687,,True
879,354.99444,3352871,6.0,6.525416844491779,354.99763414406635,,7066,10,11,0,12,1,354.9976698,O12S1,5.0,-9.098087888309617,-0.10043990894286532,,True
892,355.10023,283945539,689.4,8.453235049977032,355.1034260096758,,7101,16,19,0,9,0,355.103455,O9,7.0,-9.08186038343746,-0.081639093628514,,True
894,355.1155,13615449,31.0,7.134031967747749,355.11869627899716,,7106,20,19,0,6,0,355.1187112,O6,11.0,-9.042609974446595,-0.04201694355537629,,True
895,355.13661,89160312,215.0,7.95017157954397,355.13980665133477,,7113,17,23,0,8,0,355.1398404,O8,6.0,-9.096135191051177,-0.09502922911077677,,True
896,355.15191,4432975,8.6,6.646695282079244,355.1551069212061,,7116,21,23,0,5,0,355.1550966,O5,10.0,-8.972418051996126,0.029061123446343737,,True
897,355.17299,10256814,22.8,7.01101247996726,355.1761872930432,,7122,18,27,0,7,0,355.1762258,O7,5.0,-9.11040707379004,-0.1084164817382351,,True
3265,356.02917,3736346,6.9,6.572447086758517,356.03238240951794,,3850,17,8,1,8,0,356.0322494,N1O8,14.0,-8.649216483000075,0.3735883986585999,2C13,True
898,356.07452,5521757,11.3,6.742077290408783,356.07773321096806,,7158,18,14,1,7,0,356.0775748,N1O7,12.0,-8.579029447974666,0.4448776876005741,,True
3266,356.08258,4041769,7.7,6.606571488572623,356.0857933534168,,890,19,15,0,7,0,356.0856808,O7,12.0,-8.7080165453543,0.31608520900936593,1C13,True
3267,356.10376,43470856,103.7,7.638198192121279,356.1069737277541,,892,16,19,0,9,0,356.10681,O9,7.0,-8.564846035865902,0.4597714773091584,1C13,True
3268,356.14014,17661502,40.8,7.247027634834618,356.1433543707766,,895,17,23,0,8,0,356.1431954,O8,6.0,-8.579133448328315,0.4463675808516023,1C13,True
899,356.98895,6122141,12.7,6.786903327681568,356.9921793876367,,7197,13,9,0,10,1,356.9921906,O10S1,9.0,-9.077509495599765,-0.03140786713408129,,True
3269,356.99871,6351019,13.3,6.802843411996327,357.0019395604634,,7700,10,11,0,12,1,357.0019162,O12S1,5.0,-8.980904175789744,0.0654351206099571,1O18,True
900,357.00675,65953079,158.5,7.8192350752651905,357.0099797028356,,7201,13,9,0,12,0,357.0099488,O12,9.0,-8.959974394996301,0.086560152438085,,True
893,355.11145,4624659,9.1,6.665079715479791,355.11464620756533,,7105,15,19,2,8,0,355.1146884,N2O8,7.0,-9.11930738370027,-0.11881354398044042,,True
926,359.02246,153788610,366.7,8.186924171633656,359.02572547277384,,7336,13,11,0,12,0,359.0255988,O12,8.0,-8.742552092327005,0.3528237937755656,,True
3244,348.09865,4370049,8.7,6.640486306606648,348.1017234448879,,827,14,19,0,10,0,348.1017246,O10,5.0,-8.832475632011917,-0.0033183176650348604,1C13,True
833,348.06944,26768277,65.0,7.4276204177512035,348.0725129374438,,6652,16,14,1,8,0,348.0724894,N1O8,10.0,-8.760818774461216,0.06762224679482749,,True
769,342.05908,6752524,15.0,6.829466136443204,342.0620492181769,,6275,17,12,1,7,0,342.0619248,N1O7,12.0,-8.316622791778228,0.36372997962496206,,True
3214,342.06714,3956120,7.8,6.597269456471001,342.0701093563363,,757,18,13,0,7,0,342.0700308,O7,12.0,-8.450901101239525,0.22964986469974605,1C13,True
770,342.08022,22466220,55.0,7.351530007388494,342.0831895805507,,6280,14,16,1,9,0,342.083054,N1O9,7.0,-8.284537824569083,0.3963381088869051,,True
3215,342.12474,21600494,52.8,7.334463683513004,342.12771034375186,,764,16,21,0,8,0,342.1275454,O8,6.0,-8.19986592052911,0.4821118734848992,1C13,True
771,342.99117,6609662,14.6,6.8201792514239035,342.9941552120962,,6313,12,7,0,12,0,342.9942988,O12,9.0,-9.122017511543381,-0.41863058464164765,,True
772,343.00651,17309205,41.9,7.2382771214836055,343.00949547559867,,6317,16,7,0,9,0,343.009555,O9,13.0,-8.877303724049249,-0.17353569438731356,,True
773,343.00987,7192090,16.1,6.856855113410769,343.0128555333162,,6318,13,11,0,9,1,343.012926,O9S1,8.0,-8.909285243714246,-0.2054344849398575,,True
3216,343.01951,5955369,12.9,6.774908675927773,343.022495698913,,6174,16,8,1,8,0,343.0225744,N1O8,13.0,-8.933522831059195,-0.2294341330590925,1N15,True
774,343.02535,6490161,14.3,6.8122554703819285,343.02833579923475,,6322,17,11,0,6,1,343.0281822,O6S1,12.0,-8.256464474248332,0.44777438916180823,,True
775,343.02765,251675701,639.1,8.400841286938766,343.03063583874535,,6323,13,11,0,11,0,343.0306842,O11,8.0,-8.845272856794407,-0.1409822994540277,,True
776,343.03889,4714309,9.8,6.673418045009865,343.0418760318351,,6326,12,11,2,10,0,343.0419176,N2O10,8.0,-8.82574357436428,-0.12117517639092544,,True
3217,343.04139,3253833,6.1,6.512395259406113,343.04437607478275,,9903,14,11,0,10,0,343.0442624,O10,9.0,-8.373263496393367,0.3313705991523033,2O18,True
777,343.04292,44707915,111.7,7.650384416566555,343.04590610106686,,6328,17,11,0,8,0,343.0459404,O8,12.0,-8.804651635006921,-0.09998349814119459,,True
778,343.04621,7284304,16.3,6.862388062159608,343.04919615758655,,6329,14,15,0,8,1,343.0493114,O8S1,7.0,-9.040682773538473,-0.33593541698508617,,True
3218,343.05256,8490842,19.4,6.928950759480927,343.05554626667595,,7576,14,13,0,10,0,343.055666,O10,8.0,-9.053924210497232,-0.349020103422627,1O18,True
3219,343.05603,4514783,9.3,6.654636881079785,343.0590163262892,,6176,17,12,1,7,0,343.05895979999997,N1O7,12.0,-8.540222944928127,0.16477135384951783,1N15,True
779,343.05815,6967778,15.5,6.843094305186909,343.06113636271016,,6332,21,11,0,5,0,343.0611966,O5,16.0,-8.880631299018425,-0.17558759327891313,,True
780,343.06153,7186535,16.1,6.856519545028257,343.06451642077803,,6334,18,15,0,5,1,343.0645676,O5S1,11.0,-8.85430990795959,-0.14918247692948566,,True
781,343.06403,314881131,800.1,8.498146636666698,343.06701646372784,,6335,14,15,0,10,0,343.0670696,O10,7.0,-8.860075097170872,-0.1548859593192462,,True
782,343.07536,5746172,12.4,6.759378621574637,343.0783466583796,,6339,13,15,2,9,0,343.078303,N2O9,7.0,-8.57821661784344,0.12725485464977623,,True
783,343.07934,35329666,87.8,7.548139531716119,343.082326726758,,6340,18,15,0,7,0,343.0823258,O7,11.0,-8.702867432806356,0.002701270157009515,,True
784,343.08263,10579591,24.7,7.0244688784858855,343.0856167832823,,6341,15,19,0,7,1,343.0856968,O7S1,6.0,-8.938874539520436,-0.2332266206991584,,True
3220,343.08916,4768977,9.9,6.678425227907306,343.0921468954731,,7581,15,17,0,9,0,343.0920514,O9,7.0,-8.42747591560782,0.27833776008623706,1O18,True
3221,343.09157,4183316,8.4,6.621520671626491,343.0945569368793,,3737,15,17,0,9,0,343.094515,O9,7.0,-8.58364057499164,0.12223127295753476,2C13,True
785,343.09449,3455705,6.6,6.53853666137039,343.0974769870482,,6344,22,15,0,4,0,343.097582,O4,15.0,-9.012013381024058,-0.3060731328386483,,True
3213,342.05194,53382785,133.8,7.727401227349227,342.0549090957897,,755,14,13,0,10,0,342.0547746,O10,8.0,-8.28697685417863,0.3931995683451936,1C13,True
768,342.04386,30959221,76.7,7.490790024373331,342.0468289572922,,6272,13,12,1,10,0,342.0466686,N1O10,8.0,-8.211160224059228,0.46881699757097633,,True
767,342.0227,5863126,12.7,6.76812922737885,342.02566859460535,,6268,16,8,1,8,0,342.0255394,N1O8,13.0,-8.301719237132444,0.3777337960267818,,True
3212,342.01554,10950987,25.7,7.039453263407758,342.01850847188535,,751,13,9,0,11,0,342.0183892,O11,9.0,-8.330546222028131,0.34872945174697795,1C13,True
3205,340.07255,46745328,116.9,7.66973821146068,340.0754852430152,,736,15,15,0,9,0,340.07551,O9,8.0,-8.70394930828759,-0.07279849357103121,1C13,True
748,340.10081,16818970,40.6,7.2257993959200855,340.1037457252669,,6165,15,18,1,8,0,340.1037894,N1O8,7.0,-8.760266991480725,-0.12841589671597653,,True
3206,340.10888,41458470,103.4,7.617613270675881,340.1118158629856,,740,16,19,0,8,0,340.1118954,O8,7.0,-8.865905723276057,-0.23385543238430095,1C13,True
3207,340.14526,12605020,29.9,7.100543539094793,340.1481964838606,,742,17,23,0,7,0,340.1482808,O7,6.0,-8.880832773568438,-0.24788053965461115,1C13,True
749,340.99107,4021710,8.0,6.604410751009476,340.9940209332508,,6193,16,5,0,9,0,340.993905,O9,14.0,-8.313931593600138,0.3399862845376667,,True
750,340.99449,6108243,13.3,6.785916305964588,340.9974409917326,,6194,13,9,0,9,1,340.997276,O9S1,9.0,-8.170153241970796,0.4838505883479153,,True
3208,341.00416,3595810,6.9,6.555796735861089,341.0071111570917,,7549,10,11,0,11,1,341.0070016,O11S1,5.0,-8.332966732876189,0.32127519713022556,1O18,True
751,341.01224,87621742,221.0,7.942611883097658,341.0151912952641,,6198,13,9,0,11,0,341.0150342,O11,9.0,-8.193773645603507,0.460669613828303,,True
752,341.0154,3551859,6.8,6.550455717034103,341.0183513493026,,6199,10,13,0,11,1,341.0184052,O11S1,4.0,-8.812427582188015,-0.1579114107029251,,True
753,341.02748,24074373,59.1,7.381554985051563,341.03043155588347,,6203,17,9,0,8,0,341.0302904,O8,13.0,-8.24091020387294,0.41391010543137874,,True
754,341.03081,6142090,13.4,6.788316175867552,341.0337616128309,,6204,14,13,0,8,1,341.0336614,O8S1,8.0,-8.361051481981734,0.29385026239202566,,True
3209,341.04301,3327580,6.3,6.52212850536111,341.0459618214713,,3709,11,15,0,10,1,341.0458506,O10S1,4.0,-8.329085356164667,0.32611882270521736,2C13,True
3222,343.09909,6755999,15.0,6.829689576616183,343.1020770660819,,10738,16,21,0,6,1,343.10222819999996,O6S1,6.0,-9.14654508783127,-0.44049238282515296,1S34,True
3210,341.04665,8605089,19.7,6.934755366471714,341.04960188372246,,746,17,10,1,7,0,341.0496298,N1O7,13.0,-8.73714480129727,-0.08185400332430874,1C13,True
756,341.05986,10331573,24.1,7.014166448645697,341.0628121096438,,6214,13,13,2,9,0,341.062653,N2O9,8.0,-8.189111224666796,0.4665114822442293,,True
757,341.06388,20792507,50.8,7.317906856364917,341.06683217839634,,6215,18,13,0,7,0,341.0666758,O7,12.0,-8.197224174550202,0.45849802238210746,,True
758,341.06709,6393536,14.1,6.805741114896,341.07004223329625,,6216,15,17,0,7,1,341.0700468,O7S1,7.0,-8.669186953630353,-0.013389342728855808,,True
